,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,35:46,13,27,.481,4,9,.444,0,0,,0,3,3,9,1,1,3,5,30,-2
Isaiah Stewart,34:36,6,11,.545,2,3,.667,0,0,,6,8,14,2,0,0,1,3,14,+7
Jalen Duren,31:49,8,11,.727,0,0,,1,3,.333,6,8,14,4,0,4,4,4,17,-4
Killian Hayes,30:30,4,12,.333,0,6,.000,2,3,.667,0,1,1,3,2,1,1,2,10,+1
Ausar Thompson,26:53,1,7,.143,1,2,.500,1,2,.500,3,4,7,3,0,5,2,2,4,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,24:57,2,8,.250,2,5,.400,1,2,.500,0,5,5,0,0,1,0,1,7,+9
Jaden Ivey,17:08,1,7,.143,0,2,.000,2,3,.667,0,2,2,3,0,0,3,3,4,-2
Marvin Bagley III,16:11,3,3,1.000,0,0,,2,2,1.000,2,6,8,3,0,1,1,1,8,+3
Joe Harris,11:46,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-5
Marcus Sasser,10:23,3,4,.750,2,3,.667,0,0,,0,2,2,1,0,0,1,0,8,+2
Malcolm Cazalon,Did Not Play
Jared Rhoden,Did Not Play
Stanley Umude,Did Not Play
James Wiseman,Did Not Play
Team Totals,240,41,92,.446,11,32,.344,9,15,.600,17,39,56,28,3,13,16,23,102,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,9:07,4,5,.800,1,1,1.000,0,0,,0,0,0,1,0,0,2,1,9,-3
Isaiah Stewart,9:07,3,4,.750,2,2,1.000,0,0,,0,2,2,1,0,0,1,1,8,-3
Jalen Duren,5:37,1,1,1.000,0,0,,0,0,,1,2,3,2,0,2,3,2,2,-4
Killian Hayes,6:41,0,2,.000,0,1,.000,2,2,1.000,0,0,0,1,1,0,0,0,2,-2
Ausar Thompson,9:07,0,0,,0,0,,0,0,,1,2,3,0,0,3,1,1,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alec Burks,2:53,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+6
Jaden Ivey,5:19,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+5
Marvin Bagley III,6:23,1,1,1.000,0,0,,0,0,,1,4,5,2,0,1,1,1,2,+7
Joe Harris,2:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Marcus Sasser,2:53,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,+6
Malcolm Cazalon,Did Not Play
Jared Rhoden,Did Not Play
Stanley Umude,Did Not Play
James Wiseman,Did Not Play
