,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,32:06,13,27,.481,3,13,.231,1,2,.500,0,6,6,4,1,1,1,1,30,+4
Tyus Jones,30:03,5,12,.417,1,4,.250,1,1,1.000,0,1,1,9,2,1,1,1,12,+9
Jordan Poole,29:10,6,12,.500,3,6,.500,2,2,1.000,1,0,1,2,1,0,0,1,17,+25
Daniel Gafford,27:34,7,10,.700,0,0,,1,2,.500,6,7,13,1,3,0,0,2,15,+5
Deni Avdija,23:51,4,8,.500,1,1,1.000,1,2,.500,1,4,5,2,0,1,0,3,10,+18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,31:10,2,7,.286,1,3,.333,3,3,1.000,0,7,7,2,1,1,1,3,8,+9
Corey Kispert,22:02,3,7,.429,2,5,.400,0,0,,0,2,2,1,0,0,2,2,8,+6
Marvin Bagley III,19:57,3,7,.429,0,0,,7,8,.875,5,3,8,2,1,0,3,4,13,+9
Landry Shamet,12:42,1,8,.125,0,2,.000,1,1,1.000,3,2,5,0,0,0,1,2,3,-7
Delon Wright,11:25,1,2,.500,0,0,,0,0,,0,2,2,3,1,0,0,0,2,-8
Patrick Baldwin Jr.,Did Not Play
Anthony Gill,Did Not Play
Trey Jemison,Did Not Play
Eugene Omoruyi,Did Not Play
Team Totals,240,45,100,.450,11,34,.324,17,21,.810,16,34,50,26,10,4,9,19,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,8:20,2,6,.333,1,3,.333,0,0,,0,0,0,2,0,1,0,0,5,-9
Tyus Jones,8:20,1,4,.250,1,3,.333,0,0,,0,0,0,3,0,1,0,1,3,-9
Jordan Poole,8:57,4,5,.800,2,2,1.000,0,0,,1,0,1,1,1,0,0,0,10,+6
Daniel Gafford,7:23,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-10
