,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,33:48,7,18,.389,1,3,.333,2,4,.500,0,3,3,6,1,2,5,1,17,-18
Matisse Thybulle,28:59,1,5,.200,1,4,.250,0,0,,1,3,4,0,2,2,0,2,3,-10
Jerami Grant,25:11,6,12,.500,1,3,.333,2,3,.667,0,1,1,3,1,1,3,1,15,-13
Malcolm Brogdon,21:06,3,8,.375,2,4,.500,2,2,1.000,0,2,2,5,0,0,2,0,10,-5
Moses Brown,15:42,1,2,.500,0,0,,0,0,,0,6,6,1,0,1,2,2,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jabari Walker,25:06,3,7,.429,0,2,.000,4,6,.667,2,7,9,0,1,0,1,2,10,-16
Ibou Badji,23:25,2,2,1.000,0,0,,0,0,,0,5,5,1,0,1,2,6,4,-6
Kris Murray,19:01,3,5,.600,0,2,.000,0,0,,1,1,2,1,1,1,0,2,6,-11
Shaedon Sharpe,18:01,2,8,.250,0,5,.000,2,2,1.000,1,0,1,1,0,0,1,0,6,-14
Skylar Mays,17:29,3,8,.375,1,3,.333,0,0,,1,1,2,3,0,1,1,1,7,-10
Ish Wainright,12:11,2,5,.400,2,4,.500,2,2,1.000,0,1,1,0,0,1,1,2,8,+3
Toumani Camara,Did Not Play
Team Totals,240,33,80,.413,8,30,.267,14,19,.737,6,30,36,21,6,10,18,19,88,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,10:12,3,4,.750,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,7,+5
Matisse Thybulle,12:00,1,4,.250,1,3,.333,0,0,,1,2,3,0,0,1,0,0,3,+9
Jerami Grant,8:39,4,7,.571,1,2,.500,0,0,,0,1,1,2,0,0,0,0,9,+6
Malcolm Brogdon,7:29,0,3,.000,0,2,.000,2,2,1.000,0,2,2,3,0,0,1,0,2,+11
Moses Brown,4:13,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jabari Walker,3:21,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+3
Ibou Badji,7:47,2,2,1.000,0,0,,0,0,,0,1,1,1,0,1,0,2,4,+7
Kris Murray, 
