,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,27:23,5,10,.500,2,6,.333,3,3,1.000,0,1,1,5,0,0,2,1,15,-24
Bismack Biyombo,23:12,0,5,.000,0,0,,0,0,,6,2,8,4,0,2,0,3,0,-21
Jaren Jackson Jr.,22:06,3,16,.188,2,6,.333,0,0,,2,0,2,2,0,1,1,2,8,-16
Jacob Gilyard,20:48,3,5,.600,3,5,.600,0,0,,1,2,3,1,2,0,1,2,9,-13
Marcus Smart,8:25,1,3,.333,1,2,.500,0,0,,0,1,1,1,1,1,0,0,3,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
David Roddy,31:05,6,17,.353,2,8,.250,3,4,.750,1,2,3,3,2,2,0,2,17,-7
Ziaire Williams,25:43,4,16,.250,2,7,.286,0,0,,0,1,1,0,1,1,1,3,10,-15
Santi Aldama,25:08,9,15,.600,3,8,.375,3,5,.600,0,5,5,4,0,2,3,0,24,-12
Xavier Tillman Sr.,22:15,6,7,.857,3,3,1.000,0,0,,1,1,2,2,1,0,1,1,15,-4
John Konchar,18:08,2,4,.500,2,3,.667,0,0,,1,2,3,6,1,0,0,1,6,0
Luke Kennard,5:45,0,5,.000,0,3,.000,0,0,,1,2,3,0,0,0,0,0,0,-6
Kenneth Lofton Jr.,5:01,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5
Vince Williams Jr.,5:01,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-5
Team Totals,240,39,106,.368,20,53,.377,9,12,.750,13,20,33,28,8,9,9,15,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,9:11,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,1,0,8,-9
Bismack Biyombo,9:11,0,1,.000,0,0,,0,0,,1,2,3,2,0,2,0,0,0,-9
Jaren Jackson Jr.,7:23,0,5,.000,0,1,.000,0,0,,2,0,2,2,0,1,1,1,0,-8
