,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,34:08,7,20,.350,2,6,.333,1,1,1.000,1,5,6,4,0,1,2,0,17,-18
Jeremy Sochan,29:12,4,9,.444,0,2,.000,0,0,,1,4,5,3,1,0,0,0,8,-4
Victor Wembanyama,29:02,7,16,.438,3,6,.500,4,4,1.000,0,4,4,3,0,1,4,2,21,-20
Tre Jones,27:58,2,3,.667,0,1,.000,2,2,1.000,1,1,2,2,2,0,2,0,6,-22
Julian Champagnie,19:38,1,5,.200,0,3,.000,0,0,,1,2,3,1,0,0,0,2,2,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,29:44,7,14,.500,3,6,.500,2,2,1.000,1,3,4,1,0,1,2,2,19,-17
Malaki Branham,19:22,2,8,.250,1,5,.200,0,0,,2,0,2,2,0,0,1,0,5,0
Blake Wesley,16:18,2,3,.667,0,1,.000,2,2,1.000,0,0,0,3,2,0,0,2,6,-6
Cedi Osman,12:17,2,5,.400,2,3,.667,2,2,1.000,1,4,5,0,0,0,1,0,8,-6
Dominick Barlow,12:00,1,5,.200,0,0,,5,6,.833,7,2,9,0,0,0,0,0,7,-1
Zach Collins,6:41,0,2,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,2,3,2,-1
Sandro Mamukelashvili,3:40,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Devonte' Graham,Did Not Play
Team Totals,240,36,91,.396,11,34,.324,20,21,.952,15,26,41,20,5,3,14,11,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,9:24,1,4,.250,1,3,.333,1,1,1.000,0,2,2,1,0,0,1,0,4,-8
